Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range,Cell_border_start,
270222_M1_L3_E003,270222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60,6-37;58-81;100-130;143-175;197-231;286-316;336-363;374-402;411-433;516-545,
270222_M1_L3_E004,270222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60,6-37;58-81;100-130;143-175;197-231;286-316;336-363;374-402;411-433;516-545,
270222_M1_L3_E005,270222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60,6-37;58-81;100-130;143-175;197-231;286-316;336-363;374-402;411-433;516-545,
131022_M1_L1_E001,131022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,8-42;59-89;104-137;157-185;200-228;247-275;307-330;348-370;386-411;432-468;480-504,
131022_M1_L1_E002-2,131022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,8-42;59-89;104-137;157-185;200-228;247-275;307-330;348-370;386-411;432-468;480-504,
131022_M1_L1_E003,131022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,9-45;53-88;97-132;151-173;196-225;346-368;441-475;484-503,
131022_M1_L1_E004,131022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,1-23;32-70;80-113;125-161;176-206;224-254;272-304;368-397;408-429;454-488;502-542,
131022_M1_L1_E005,131022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,2-20;34-62;86-112;124-161;176-206;224-254;272-304;368-397;408-429;454-488;502-542,
131022_M1_L3_E001,131022_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,7-35;49-80;92-118;143-173;197-217;240-284;339-370;389-418;438-468;543-563,
131022_M1_L3_E002,131022_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60,7-35;49-80;92-118;143-173;197-217;240-284;339-370;389-418;438-468;543-563,
