Trial_ID,Larva_ID,Pressure_Level,Type_Stimulus,Prior,Duration_Stimulus,Post,Transducer_factor,State,Plasmid,Cell_labelled,Genotype,Frame_rate,Bin_size,Theta_range
270222_M1_L3_E003,270222_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60
270222_M1_L3_E004,270222_M1_L3,556,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60
270222_M1_L3_E005,270222_M1_L3,988,Pressure,30,60,30,2,positive,pLB316,Ser-h/ser-tr,WT,200,200,24-60
131022_M1_L1_E001,131022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L1_E002-2,131022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L1_E003,131022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L1_E004,131022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L1_E005,131022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L3_E001,131022_M1_L3,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L3_E002,131022_M1_L3,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L3_E003,131022_M1_L3,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L3_E004,131022_M1_L3,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
131022_M1_L3_E005,131022_M1_L3,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,30-60
161022_M1_L1_E001,161022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60
161022_M1_L1_E002,161022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,30-60
161022_M1_L1_E003,161022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,30-60
161022_M1_L1_E004,161022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,30-60
161022_M1_L1_E005,161022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,30-60
171022_M1_L1_E001,171022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-50
171022_M1_L1_E002,171022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-50
171022_M1_L1_E003,171022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-50
171022_M1_L1_E004,171022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-50
171022_M1_L1_E005,171022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-50
171022_M1_L2_E001,171022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-60
171022_M1_L2_E002,171022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60
171022_M1_L2_E003,171022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-60
171022_M1_L2_E004,171022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-60
171022_M1_L2_E005,171022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-60
201022_M1_L2_E001,201022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,22-70
201022_M1_L2_E002,201022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,22-70
201022_M1_L2_E003,201022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,22-70
201022_M1_L2_E004,201022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,22-70
201022_M1_L2_E005,201022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,22-70
231022_M1_L1_E001,231022_M1_L1,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61
231022_M1_L1_E002,231022_M1_L1,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61
231022_M1_L1_E003,231022_M1_L1,988,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61
231022_M1_L1_E004,231022_M1_L1,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61
231022_M1_L1_E005,231022_M1_L1,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-61
231022_M1_L2_E001,231022_M1_L2,85,Pressure,30,60,30,0.25,positive,pLB253,Ser-h,WT,200,200,25-61
231022_M1_L2_E002,231022_M1_L2,988,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-61
231022_M1_L2_E003,231022_M1_L2,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h,WT,200,200,25-61
231022_M1_L2_E004,231022_M1_L2,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h,WT,200,200,25-61
231022_M1_L2_E005,231022_M1_L2,556,Pressure,30,60,30,2,positive,pLB253,Ser-h,WT,200,200,25-61
231022_M1_L4_E001,231022_M1_L4,237.5,Pressure,30,60,30,0.625,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60
231022_M1_L4_E002,231022_M1_L4,556,Pressure,30,60,30,2,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60
231022_M1_L4_E003,231022_M1_L4,0,Pressure,30,60,30,0.125,positive,pLB253,Ser-h/ser-tr,WT,200,200,25-60
