"Time","variable","value","SEDisp","Pressure_Level","Genotype","Basal_pressure","Category_pressure","Press","SEPress"
101,"137.5_WT_0",-0.333912528987144,0.0949710637649024,"137.5","WT","0","137.5",-1.80520833333333,0.476716448267323
102,"137.5_WT_0",-0.329167848114692,0.08060639075985,"137.5","WT","0","137.5",-1.75208333333333,0.467175016091103
103,"137.5_WT_0",-0.317812605638971,0.0992137747203213,"137.5","WT","0","137.5",-1.78333333333333,0.466814871369737
104,"137.5_WT_0",-0.299627442431434,0.089458884196104,"137.5","WT","0","137.5",-1.77604166666667,0.463430464189493
105,"137.5_WT_0",-0.342573288898925,0.0875272856485378,"137.5","WT","0","137.5",-1.78229166666667,0.486190035755624
106,"137.5_WT_0",-0.327910911270253,0.0889141088659821,"137.5","WT","0","137.5",-1.76041666666667,0.476842756846473
107,"137.5_WT_0",-0.291822646312333,0.0777068690397955,"137.5","WT","0","137.5",-1.81458333333333,0.470715209186746
108,"137.5_WT_0",-0.287399084461654,0.0916031642279293,"137.5","WT","0","137.5",-1.790625,0.485651320250559
109,"137.5_WT_0",-0.313366161690616,0.0923795914224074,"137.5","WT","0","137.5",-1.8,0.486553122456553
110,"137.5_WT_0",-0.326710690979312,0.101958348328917,"137.5","WT","0","137.5",-1.765625,0.485463047676877
111,"137.5_WT_0",-0.339088755953786,0.0827908429957256,"137.5","WT","0","137.5",-1.80104166666667,0.482653751769549
112,"137.5_WT_0",-0.313756231796493,0.100111555594699,"137.5","WT","0","137.5",-1.77916666666667,0.457891003413415
113,"137.5_WT_0",-0.302025250989936,0.111041059775508,"137.5","WT","0","137.5",-1.815625,0.489457541463846
114,"137.5_WT_0",-0.288255886600943,0.0838971300913845,"137.5","WT","0","137.5",-1.78020833333333,0.447969352521588
115,"137.5_WT_0",-0.322928268370325,0.0987844951416229,"137.5","WT","0","137.5",-1.78020833333333,0.467986646963469
116,"137.5_WT_0",-0.348930545188776,0.104264060349975,"137.5","WT","0","137.5",-1.77083333333333,0.487375896774702
117,"137.5_WT_0",-0.289918001669964,0.0932021992484143,"137.5","WT","0","137.5",-1.78125,0.489175916472739
118,"137.5_WT_0",-0.321679579879654,0.0867066886923702,"137.5","WT","0","137.5",-1.76666666666667,0.483779315613305
119,"137.5_WT_0",-0.296652490377452,0.0904221510208364,"137.5","WT","0","137.5",-1.784375,0.483179528330022
120,"137.5_WT_0",-0.297781735774101,0.0828432461406259,"137.5","WT","0","137.5",-1.76041666666667,0.475295732135384
-9,"142.5_WT_100",0.089019245233353,0.0524878149235269,"142.5","WT","100","42.5",99.5666666666667,0.174036674600224
-8,"142.5_WT_100",0.00664226867604131,0.0113433444386617,"142.5","WT","100","42.5",99.4333333333333,0.187517360307432
-7,"142.5_WT_100",-0.0352363760026569,0.0399128232501974,"142.5","WT","100","42.5",99.2958333333333,0.180048700973439
-6,"142.5_WT_100",0.0095569019737522,0.0116219388523732,"142.5","WT","100","42.5",99.2333333333333,0.204379141140512
-5,"142.5_WT_100",0.00981791479708585,0.0215842173869232,"142.5","WT","100","42.5",99.0833333333333,0.18804896488533
-4,"142.5_WT_100",0.00236157540592277,0.0106017528351598,"142.5","WT","100","42.5",99.5447916666667,0.503960012743514
-3,"142.5_WT_100",-0.0380496411381884,0.00909353161239505,"142.5","WT","100","42.5",99.51875,0.602027012215809
-2,"142.5_WT_100",-0.0153136350241814,0.0223202768329201,"142.5","WT","100","42.5",99.2479166666667,0.412263847596079
-1,"142.5_WT_100",-0.0287982539211285,0.0129676997860843,"142.5","WT","100","42.5",99.1635416666667,0.412490793247422
0,"142.5_WT_100",-0.0157333681384301,0.0251373198958589,"142.5","WT","100","42.5",99.496875,0.356246192718444
1,"142.5_WT_100",-0.0462178938323636,0.0256604031729379,"142.5","WT","100","42.5",137.788541666667,1.74300561570779
2,"142.5_WT_100",-0.0147403748745369,0.0216970176260025,"142.5","WT","100","42.5",142.625,0.65174545293133
3,"142.5_WT_100",-0.00632773057739979,0.0294801876078186,"142.5","WT","100","42.5",141.998958333333,0.379363359010493
4,"142.5_WT_100",0.059337083288174,0.030806722575846,"142.5","WT","100","42.5",142.279166666667,0.613374075158377
5,"142.5_WT_100",0.188175734456951,0.058323534554096,"142.5","WT","100","42.5",141.442708333333,0.978990731091207
6,"142.5_WT_100",0.255004924814885,0.0795813761691175,"142.5","WT","100","42.5",142.008333333333,0.347257984269462
7,"142.5_WT_100",0.32752754644746,0.080867329455522,"142.5","WT","100","42.5",141.848958333333,0.328029913471238
8,"142.5_WT_100",0.414935741513601,0.0822040930636882,"142.5","WT","100","42.5",141.710416666667,0.318589113808836
9,"142.5_WT_100",0.450521279633996,0.0983735691275238,"142.5","WT","100","42.5",141.56875,0.297948534134764
10,"142.5_WT_100",0.47153873105098,0.102148557787263,"142.5","WT","100","42.5",141.657291666667,0.255237030699462
11,"142.5_WT_100",0.551971529600703,0.11771022935818,"142.5","WT","100","42.5",141.788541666667,0.375818695437415
